"filename", "language", "Python", "XML", "SQL", "JSON", "comment", "blank", "total"
"d:\User\Documents\Programming\csc_project\backend.py", "Python", 135, 0, 0, 0, 48, 25, 208
"d:\User\Documents\Programming\csc_project\dash.py", "Python", 171, 0, 0, 0, 7, 10, 188
"d:\User\Documents\Programming\csc_project\dash.ui", "XML", 0, 293, 0, 0, 0, 3, 296
"d:\User\Documents\Programming\csc_project\dash_admin.py", "Python", 113, 0, 0, 0, 7, 10, 130
"d:\User\Documents\Programming\csc_project\dash_admin.ui", "XML", 0, 207, 0, 0, 0, 1, 208
"d:\User\Documents\Programming\csc_project\form.py", "Python", 93, 0, 0, 0, 4, 7, 104
"d:\User\Documents\Programming\csc_project\formcreator.py", "Python", 133, 0, 0, 0, 5, 25, 163
"d:\User\Documents\Programming\csc_project\login.py", "Python", 148, 0, 0, 0, 7, 8, 163
"d:\User\Documents\Programming\csc_project\login.ui", "XML", 0, 322, 0, 0, 0, 2, 324
"d:\User\Documents\Programming\csc_project\main.py", "Python", 334, 0, 0, 0, 13, 50, 397
"d:\User\Documents\Programming\csc_project\out\linecounter.json", "JSON", 0, 0, 0, 137, 0, 0, 137
"d:\User\Documents\Programming\csc_project\project\backend.py", "Python", 135, 0, 0, 0, 48, 25, 208
"d:\User\Documents\Programming\csc_project\project\dash.py", "Python", 171, 0, 0, 0, 7, 10, 188
"d:\User\Documents\Programming\csc_project\project\dash_admin.py", "Python", 113, 0, 0, 0, 7, 10, 130
"d:\User\Documents\Programming\csc_project\project\form.py", "Python", 93, 0, 0, 0, 4, 7, 104
"d:\User\Documents\Programming\csc_project\project\formcreator.py", "Python", 133, 0, 0, 0, 5, 25, 163
"d:\User\Documents\Programming\csc_project\project\login.py", "Python", 148, 0, 0, 0, 7, 8, 163
"d:\User\Documents\Programming\csc_project\project\main.py", "Python", 334, 0, 0, 0, 13, 50, 397
"d:\User\Documents\Programming\csc_project\project\question.py", "Python", 129, 0, 0, 0, 7, 8, 144
"d:\User\Documents\Programming\csc_project\project\questiontemp.py", "Python", 140, 0, 0, 0, 7, 8, 155
"d:\User\Documents\Programming\csc_project\project\score_list.py", "Python", 89, 0, 0, 0, 5, 13, 107
"d:\User\Documents\Programming\csc_project\project\scoredash.py", "Python", 190, 0, 0, 0, 7, 10, 207
"d:\User\Documents\Programming\csc_project\project\test_listing.py", "Python", 112, 0, 0, 0, 7, 10, 129
"d:\User\Documents\Programming\csc_project\project\test_result.py", "Python", 75, 0, 0, 0, 7, 10, 92
"d:\User\Documents\Programming\csc_project\project\tests_list.py", "Python", 96, 0, 0, 0, 4, 7, 107
"d:\User\Documents\Programming\csc_project\project\thanks.py", "Python", 82, 0, 0, 0, 7, 10, 99
"d:\User\Documents\Programming\csc_project\queries.sql", "SQL", 0, 0, 57, 0, 14, 18, 89
"d:\User\Documents\Programming\csc_project\question.py", "Python", 129, 0, 0, 0, 7, 8, 144
"d:\User\Documents\Programming\csc_project\question.ui", "XML", 0, 282, 0, 0, 0, 1, 283
"d:\User\Documents\Programming\csc_project\questiontemp.py", "Python", 140, 0, 0, 0, 7, 8, 155
"d:\User\Documents\Programming\csc_project\questiontemp.ui", "XML", 0, 270, 0, 0, 0, 3, 273
"d:\User\Documents\Programming\csc_project\score_list.py", "Python", 89, 0, 0, 0, 5, 13, 107
"d:\User\Documents\Programming\csc_project\scoredash.py", "Python", 190, 0, 0, 0, 7, 10, 207
"d:\User\Documents\Programming\csc_project\scoredash.ui", "XML", 0, 374, 0, 0, 0, 1, 375
"d:\User\Documents\Programming\csc_project\test_listing.py", "Python", 112, 0, 0, 0, 7, 10, 129
"d:\User\Documents\Programming\csc_project\test_listing.ui", "XML", 0, 166, 0, 0, 0, 1, 167
"d:\User\Documents\Programming\csc_project\test_result.py", "Python", 75, 0, 0, 0, 7, 10, 92
"d:\User\Documents\Programming\csc_project\test_result.ui", "XML", 0, 139, 0, 0, 0, 1, 140
"d:\User\Documents\Programming\csc_project\testimg_rc.py", "Python", 371, 0, 0, 0, 6, 11, 388
"d:\User\Documents\Programming\csc_project\tests_list.py", "Python", 96, 0, 0, 0, 4, 7, 107
"d:\User\Documents\Programming\csc_project\thanks.py", "Python", 82, 0, 0, 0, 7, 10, 99
"d:\User\Documents\Programming\csc_project\thanks.ui", "XML", 0, 185, 0, 0, 0, 2, 187
"d:\User\Documents\Programming\csc_project\untitled.ui", "XML", 0, 19, 0, 0, 0, 1, 20
"Total", "-", 4451, 2257, 57, 137, 304, 467, 7673
